Product ID,Issue Datetime,Summary,Begin Time,Maximum Time,End Time,X-ray Class,Location,NOAA Scale,Potential Impacts
XM5S,2024-03-18 19:42:10.457,2024 Mar 18 1942 UTC,2024 Mar 18 1902 UTC,2024 Mar 18 1919 UTC,2024 Mar 18 1928 UTC,M6.7,S12E62,R2 - Moderate,Area of impact centered primarily on sub-solar point on the sunlit side of Earth.
XM5A,2024-03-18 19:18:41.723,2024 Mar 18 1918 UTC,,,,,,R2 - Moderate,Area of impact centered on sub-solar point on the sunlit side of Earth. Extent of blackout of HF (high frequency) radio communication dependent upon current X-ray Flux intensity. For real-time information on affected area and expected duration please see http://www.swpc.noaa.gov/products/d-region-absorption-predictions-d-rap.
A20F,2024-03-18 10:11:37.807,2024 Mar 18 1011 UTC,,,,,,,Area of impact primarily poleward of 60 degrees Geomagnetic Latitude.
P11S,2024-03-16 20:20:28.710,2024 Mar 16 2020 UTC,2024 Mar 15 2050 UTC,2024 Mar 16 0635 UTC,2024 Mar 16 1505 UTC,,,S1 - Minor,
P11W,2024-03-16 20:20:28.710,2024 Mar 16 2020 UTC,,,,,,,Radio - Minor impacts on polar HF (high frequency) radio propagation resulting in fades at lower frequencies.
P11W,2024-03-16 05:55:40.460,2024 Mar 16 0555 UTC,,,,,,,Radio - Minor impacts on polar HF (high frequency) radio propagation resulting in fades at lower frequencies.
P11A,2024-03-15 21:06:47.700,2024 Mar 15 2106 UTC,2024 Mar 15 2050 UTC,,,,,S1 - Minor,Radio - Minor impacts on polar HF (high frequency) radio propagation resulting in fades at lower frequencies.
P11W,2024-03-15 15:44:01.590,2024 Mar 15 1544 UTC,,,,,,,Radio - Minor impacts on polar HF (high frequency) radio propagation resulting in fades at lower frequencies.
K04A,2024-03-15 03:01:18.620,2024 Mar 15 0301 UTC,,,,,,,Area of impact primarily poleward of 65 degrees Geomagnetic Latitude.
K04W,2024-03-15 00:55:49.800,2024 Mar 15 0055 UTC,,,,,,,Area of impact primarily poleward of 65 degrees Geomagnetic Latitude.
